update_step,landmark_label,cov_x,cov_y,NIS
1,1,0.2504987534897802,0.25049875348978057,1.2301361198488915e-32
2,1,0.2504985059721391,0.25049751293235434,nan
2,2,0.2504985059721396,0.25049751293235395,1.2301422362692306e-32
3,1,0.250497266396913,0.2504972663969134,nan
3,2,0.2504982574614754,0.250497266396913,nan
3,3,0.25049726639691344,0.25049825746147486,2.46273250706577e-32
4,1,0.25049701985707945,0.25049701985707984,nan
4,2,0.25049701985707995,0.25049701985707945,nan
4,3,0.2504970198570799,0.2504970198570794,nan
4,4,0.25049701985707934,0.2504970198570799,1.230144667318027e-32
5,1,0.16688738171135747,0.1668873817113576,1.642372010023249e-32
5,2,0.25049693789403854,0.2504966088505543,nan
5,3,0.25049660885055475,0.250496937894038,nan
5,4,0.25049693789403793,0.2504969378940385,nan
6,1,0.1668873453796054,0.1668871993315794,nan
6,2,0.16688734537960562,0.16688719933157922,1.64237290922498e-32
6,3,0.2504965271041126,0.25049685593029775,nan
6,4,0.250496527104112,0.25049685593029825,nan
7,1,0.16688716304766238,0.16688716304766252,nan
7,2,0.16688730899927146,0.16688716304766235,nan
7,3,0.16688716304766257,0.16688730899927123,3.28583024898207e-32
7,4,0.2504964452483602,0.25049644524836073,nan
8,1,0.1668871267633891,0.16688712676338924,nan
8,2,0.16688712676338932,0.16688712676338907,nan
8,3,0.1668871267633893,0.1668871267633891,nan
8,4,0.16688712676338907,0.1668871267633893,1.6423732670137813e-32
9,1,0.12512395762163347,0.12512395762163356,1.8482815883516782e-32
9,2,0.16688710863915132,0.16688703577179284,nan
9,3,0.16688703577179306,0.1668871086391511,nan
9,4,0.16688710863915107,0.1668871086391513,nan
10,1,0.12512394744020308,0.12512390647940147,nan
10,2,0.12512394744020322,0.1251239064794014,1.8482818405023502e-32
10,3,0.16688701767147235,0.16688709051481543,nan
10,4,0.16688701767147213,0.16688709051481562,nan
11,1,0.1251238963046603,0.1251238963046604,nan
11,2,0.12512393725196486,0.1251238963046603,nan
11,3,0.12512389630466045,0.12512393725196475,3.6971727698274513e-32
11,4,0.1668869995590484,0.16688699955904862,nan
12,1,0.12512388612986108,0.12512388612986117,nan
12,2,0.12512388612986122,0.12512388612986108,nan
12,3,0.12512388612986122,0.1251238861298611,nan
12,4,0.1251238861298611,0.12512388612986122,1.8482819408333303e-32
13,1,0.10007926750672677,0.10007926750672683,1.971761444070585e-32
13,2,0.12512388002818892,0.1251238554792606,nan
13,3,0.12512385547926075,0.1251238800281888,nan
13,4,0.1251238800281888,0.12512388002818892,nan
14,1,0.10007926360474613,0.10007924789965775,nan
14,2,0.10007926360474624,0.10007924789965772,1.9717615407408992e-32
14,3,0.125123849382416,0.12512387392649466,nan
14,4,0.12512384938241589,0.12512387392649477,nan
15,1,0.10007924399921353,0.10007924399921359,nan
15,2,0.10007925970119999,0.10007924399921356,nan
15,3,0.10007924399921364,0.10007925970119992,3.9439125649996703e-32
15,4,0.12512384328312487,0.12512384328312498,nan
16,1,0.10007924009875496,0.10007924009875502,nan
16,2,0.10007924009875507,0.10007924009875499,nan
16,3,0.10007924009875507,0.100079240098755,nan
16,4,0.10007924009875499,0.10007924009875507,1.971761579202319e-32
17,1,0.083388352108673,0.08338835210867304,2.0540540105073103e-32
17,2,0.10007923749930235,0.10007922703648915,nan
17,3,0.10007922703648924,0.10007923749930228,nan
17,4,0.10007923749930227,0.10007923749930235,nan
18,1,0.08338835030444919,0.08338834304052534,nan
18,2,0.08338835030444927,0.08338834304052532,2.0540540552167302e-32
18,3,0.10007922443840694,0.100079234899843,nan
18,4,0.10007922443840686,0.10007923489984306,nan
19,1,0.08338834123677477,0.08338834123677481,nan
19,2,0.0833883484997428,0.0833883412367748,nan
19,3,0.08338834123677485,0.08338834849974276,4.108378433940147e-32
19,4,0.10007922183962956,0.10007922183962964,nan
20,1,0.08338833943301961,0.08338833943301965,nan
20,2,0.08338833943301968,0.08338833943301964,nan
20,3,0.0833883394330197,0.08338833943301964,nan
20,4,0.08338833943301963,0.08338833943301967,2.0540540730031067e-32
21,1,0.07146897931669682,0.07146897931669685,2.112821055571967e-32
21,2,0.08338833814491275,0.08338833295883737,nan
21,3,0.08338833295883742,0.08338833814491271,nan
21,4,0.0833883381449127,0.08338833814491274,nan
22,1,0.0714689783706888,0.07146897456122944,nan
22,2,0.07146897837068886,0.07146897456122943,2.112821079018231e-32
22,3,0.0833883316712154,0.08338833685680339,nan
22,4,0.08338833167121533,0.08338833685680341,nan
23,1,0.07146897361539854,0.0714689736153986,nan
23,2,0.07146897742450008,0.07146897361539858,nan
23,3,0.07146897361539861,0.07146897742450004,4.2258406847367056e-32
23,4,0.08338833038334725,0.0833883303833473,nan
24,1,0.0714689726695659,0.07146897266956595,nan
24,2,0.07146897266956596,0.07146897266956594,nan
24,3,0.07146897266956596,0.07146897266956592,nan
24,4,0.07146897266956592,0.07146897266956595,2.112821088344852e-32
25,1,0.06253092947039365,0.06253092947039368,2.156889043651125e-32
25,2,0.0714689719603077,0.07146896910418765,nan
25,3,0.07146896910418768,0.07146897196030766,nan
25,4,0.07146897196030766,0.07146897196030769,nan
26,1,0.06253092892752107,0.06253092674111337,nan
26,2,0.06253092892752111,0.06253092674111335,2.1568890571075152e-32
26,3,0.07146896839512962,0.07146897125104838,nan
26,4,0.07146896839512958,0.07146897125104841,nan
27,1,0.06253092619831699,0.062530926198317,nan
27,2,0.06253092838457072,0.06253092619831699,nan
27,3,0.06253092619831702,0.0625309283845707,4.3139300666284645e-32
27,4,0.07146896768596989,0.07146896768596991,nan
28,1,0.06253092565551985,0.06253092565551986,nan
28,2,0.06253092565551986,0.06253092565551985,nan
28,3,0.06253092565551988,0.06253092565551983,nan
28,4,0.06253092565551985,0.06253092565551986,2.1568890624599044e-32
29,1,0.05557998896458079,0.0555799889645808,2.1911598262733304e-32
29,2,0.06253092523339698,0.06253092353329756,nan
29,3,0.06253092353329759,0.06253092523339696,nan
29,4,0.06253092523339697,0.06253092523339698,nan
30,1,0.05557998863112481,0.05557998728798408,nan
30,2,0.055579988631124816,0.055579987287984065,2.1911598345395903e-32
30,3,0.06253092311126736,0.06253092481127359,nan
30,4,0.06253092311126733,0.06253092481127362,nan
31,1,0.055579986954564495,0.0555799869545645,nan
31,2,0.05557998829763166,0.05557998695456449,nan
31,3,0.05557998695456451,0.05557998829763164,4.382439703011288e-32
31,4,0.06253092268919005,0.06253092268919007,nan
32,1,0.055579986621144536,0.05557998662114454,nan
32,2,0.05557998662114453,0.05557998662114453,nan
32,3,0.05557998662114455,0.05557998662114451,nan
32,4,0.05557998662114452,0.05557998662114453,2.1911598378273628e-32
33,1,0.05001978807691366,0.050019788076913665,4.5806328473875166e-07
33,2,0.05557998635443477,0.055579985280140305,nan
33,3,0.055579985280140326,0.05557998635443475,nan
33,4,0.055579986354434764,0.05557998635443477,nan
34,1,0.05001978786091668,0.050019786990814705,nan
34,2,0.050019787860916674,0.050019786990814684,4.580644398230016e-07
