update_step,landmark_label,cov_x,cov_y,NIS
1,1,0.002824074061617333,0.0028240740616188942,0.0
2,1,0.0028172819100022025,0.0028056107761174343,nan
2,2,0.0028172819100037434,0.0028056107761158947,0.0
3,1,0.002799782150322046,0.002799782150323567,nan
3,2,0.002813824300186231,0.002803418472501022,nan
3,3,0.002803418472502562,0.0028138243001846917,0.0
4,1,0.0027975496652783544,0.0027975496652798753,nan
4,2,0.0027975496652798758,0.0027975496652783544,nan
4,3,0.0027975496652798766,0.0027975496652783553,nan
4,4,0.002797549665278356,0.0027975496652798766,0.0
5,1,0.00160072670038353,0.0016007267003844824,0.0
5,2,0.0027967473548949845,0.002795002763030459,nan
5,3,0.0027950027630319787,0.0027967473548934666,nan
5,4,0.002797240762782682,0.0027972407627842024,nan
6,1,0.001600442437858962,0.0015998802062774224,nan
6,2,0.0016004424378599138,0.0015998802062764704,0.0
6,3,0.0027947201012244603,0.0027964413357870407,nan
6,4,0.0027947201012229425,0.0027964413357885595,nan
7,1,0.0015996020845482596,0.0015996020845492102,nan
7,2,0.0016003420867605012,0.0015997873324826752,nan
7,3,0.0015997873324836275,0.0016003420867595497,0.0
7,4,0.0027939389807901923,0.0027939389807917075,nan
8,1,0.0015995102098472684,0.0015995102098482188,nan
8,2,0.001599510209848219,0.0015995102098472678,nan
8,3,0.001599510209848219,0.0015995102098472684,nan
8,4,0.0015995102098472684,0.0015995102098482193,0.0
9,1,0.0011209555601492207,0.0011209555601499096,0.0
9,2,0.0015993990040922299,0.0015991700611066207,nan
9,3,0.0015991700611075715,0.0015993990040912797,nan
9,4,0.0015994732693642634,0.0015994732693652143,nan
10,1,0.0011208992256844183,0.001120787548183597,nan
10,2,0.001120899225685107,0.001120787548182908,0.0
10,3,0.0015991344949679552,0.0015993622560862447,nan
10,4,0.001599134494967005,0.001599362256087195,nan
11,1,0.0011207316974604425,0.0011207316974611312,nan
11,2,0.0011208811543392194,0.001120770051861596,nan
11,3,0.0011207700518622854,0.001120881154338531,0.0
11,4,0.001599024457893889,0.001599024457894839,nan
12,1,0.0011207142970531816,0.0011207142970538703,nan
12,2,0.00112071429705387,0.0011207142970531812,nan
12,3,0.0011207142970538705,0.0011207142970531816,nan
12,4,0.0011207142970531816,0.0011207142970538703,0.0
13,1,0.0008627510570839664,0.0008627510570845061,0.0
13,2,0.0011206842050643872,0.0011206235306024514,nan
13,3,0.0011206235306031407,0.001120684205063699,nan
13,4,0.0011207048978104884,0.0011207048978111771,nan
14,1,0.0008627329266458783,0.0008626971053762799,nan
14,2,0.0008627329266464178,0.0008626971053757401,0.0
14,3,0.0011206143271007705,0.0011206748356867525,nan
14,4,0.0011206143271000816,0.0011206748356874412,nan
15,1,0.0008626790582391084,0.000862679058239648,nan
15,2,0.0008627273695533571,0.000862691646078696,nan
15,3,0.000862691646079236,0.0008627273695528177,0.0
15,4,0.0011205844048932823,0.001120584404893971,nan
16,1,0.000862673616753106,0.0008626736167536457,nan
16,2,0.0008626736167536455,0.0008626736167531058,nan
16,3,0.0008626736167536457,0.0008626736167531062,nan
16,4,0.000862673616753106,0.0008626736167536457,0.0
17,1,0.0007012948712287904,0.0007012948712292338,0.0
17,2,0.0008626623306493989,0.0008626398211539672,nan
17,3,0.0008626398211545069,0.0008626623306488596,nan
17,4,0.00086267020886052,0.0008626702088610595,nan
18,1,0.0007012873356712376,0.000701272495873259,nan
18,2,0.0007012873356716809,0.0007012724958728154,0.0
18,3,0.0008626364585844308,0.0008626589299856505,nan
18,4,0.0008626364585838913,0.0008626589299861899,nan
19,1,0.000701264981852572,0.0007012649818530153,nan
19,2,0.000701285087066988,0.0007012702723604653,nan
19,3,0.0007012702723609087,0.0007012850870665449,0.0
19,4,0.000862625212207426,0.0008626252122079654,nan
20,1,0.0007012627631343083,0.0007012627631347516,nan
20,2,0.0007012627631347514,0.000701262763134308,nan
20,3,0.0007012627631347515,0.0007012627631343083,nan
