update_step,landmark_label,cov_x,cov_y,NIS
1,1,0.003719187146665027,0.0037191871466673806,9.792215804630235e-32
2,1,0.0037191868371962674,0.003719186452382522,nan
2,2,0.0037191868371986366,0.0037191864523802172,9.79225408941576e-32
3,1,0.0037191861446808287,0.003719186144683182,nan
3,2,0.0037191867178188133,0.003719186334511775,nan
3,3,0.0037191863345140412,0.003719186717816521,9.792292564886313e-32
4,1,0.0037191860272579673,0.0037191860272603205,nan
4,2,0.0037191860272603365,0.0037191860272580163,nan
4,3,0.0037191860272602828,0.003719186027258044,nan
4,4,0.003719186027258074,0.0037191860272603166,1.4645274098961719e-31
5,1,0.0018672622191919443,0.0018672622191930907,0.0
5,2,0.003719186025977082,0.0037191860240790094,nan
5,3,0.003719186024081276,0.0037191860259747894,nan
5,4,0.0037191860267370034,0.003719186026739246,nan
6,1,0.0018672622188675124,0.0018672622183911912,nan
6,2,0.0018672622188686625,0.001867262218390057,0.0
6,3,0.0037191860235602516,0.0037191860254537374,nan
6,4,0.003719186023558043,0.0037191860254560103,nan
7,1,0.001867262218065622,0.0018672622180667684,nan
7,2,0.0018672622187371824,0.001867262218258584,nan
7,3,0.0018672622182597089,0.0018672622187360511,0.0
7,4,0.003719186022274843,0.0037191860222770858,nan
8,1,0.0018672622179341535,0.0018672622179353,nan
8,2,0.0018672622179353037,0.001867262217934166,nan
8,3,0.0018672622179352909,0.0018672622179341724,nan
8,4,0.0018672622179341804,0.0018672622179352993,0.0
9,1,0.001246555874425146,0.001246555874425903,0.0
9,2,0.0018672622178265161,0.0018672622176651736,nan
9,3,0.0018672622176662986,0.0018672622178253849,nan
9,4,0.0018672622178900848,0.0018672622178912037,nan
10,1,0.0012465558743766142,0.0012465558743059923,nan
10,2,0.0012465558743773731,0.0012465558743052405,0.0
10,3,0.0018672622176222043,0.0018672622177812897,nan
10,4,0.0018672622176210938,0.0018672622177824168,nan
11,1,0.001246555874256704,0.001246555874257461,nan
11,2,0.0012465558743577142,0.001246555874285582,nan
11,3,0.00124655587428633,0.0012465558743569635,0.0
11,4,0.0018672622175123078,0.001867262217513427,nan
12,1,0.0012465558742370457,0.0012465558742378027,nan
12,2,0.0012465558742378044,0.001246555874237051,nan
12,3,0.001246555874237799,0.0012465558742370537,nan
12,4,0.0012465558742370576,0.001246555874237803,0.0
13,1,0.0009355612383337458,0.0009355612383343108,0.0
13,2,0.0012465558742134843,0.0012465558741769531,nan
13,3,0.0012465558741777012,0.0012465558742127336,nan
13,4,0.0012465558742272055,0.0012465558742279508,nan
14,1,0.0009355612383200399,0.0009355612383004551,nan
14,2,0.0009355612383206061,0.0009355612382998927,0.0
14,3,0.0012465558741678493,0.0012465558742028814,nan
14,4,0.0012465558741671077,0.0012465558742036308,nan
15,1,0.0009355612382861842,0.0009355612382867494,nan
15,2,0.0009355612383150556,0.0009355612382943424,nan
15,3,0.0009355612382949028,0.0009355612383144938,0.0
15,4,0.0012465558741427878,0.0012465558741435333,nan
16,1,0.0009355612382806338,0.000935561238281199,nan
16,2,0.0009355612382812001,0.0009355612382806368,nan
16,3,0.0009355612382811972,0.0009355612382806383,nan
16,4,0.0009355612382806405,0.0009355612382811994,0.0
17,1,0.0007487586384934327,0.0007487586384938838,0.0
17,2,0.0009355612382729668,0.0009355612382602976,nan
17,3,0.000935561238260858,0.000935561238272405,nan
17,4,0.0009355612382773061,0.000935561238277865,nan
18,1,0.0007487586384881574,0.000748758638480855,nan
18,2,0.0007487586384886093,0.0007487586384804058,0.0
18,3,0.0009355612382575236,0.0009355612382690706,nan
18,4,0.0009355612382569669,0.0009355612382696318,nan
19,1,0.0007487586384751285,0.0007487586384755797,nan
19,2,0.0007487586384864733,0.0007487586384782698,nan
19,3,0.0007487586384787178,0.0007487586384860243,0.0
19,4,0.0009355612382487337,0.0009355612382492926,nan
20,1,0.0007487586384729926,0.0007487586384734437,nan
20,2,0.0007487586384734444,0.0007487586384729946,nan
20,3,0.0007487586384734426,0.0007487586384729955,nan
20,4,0.000748758638472997,0.000748758638473444,0.0
21,1,0.000624137686699378,0.0006241376866997532,0.0
21,2,0.000748758638469925,0.0007487586384643018,nan
21,3,0.0007487586384647498,0.000748758638469476,nan
21,4,0.0007487586384715719,0.0007487586384720189,nan
22,1,0.0006241376866969322,0.0006241376866937129,nan
22,2,0.0006241376866973079,0.0006241376866933391,0.0
22,3,0.0007487586384633247,0.000748758638468051,nan
22,4,0.0007487586384628791,0.0007487586384684995,nan
23,1,0.0006241376866908918,0.0006241376866912671,nan
23,2,0.0006241376866963176,0.0006241376866923488,nan
23,3,0.0006241376866927219,0.0006241376866959439,0.0
23,4,0.0007487586384593597,0.0007487586384598067,nan
24,1,0.0006241376866899015,0.0006241376866902768,nan
24,2,0.0006241376866902773,0.0006241376866899029,nan
24,3,0.000624137686690276,0.0006241376866899036,nan
24,4,0.0006241376866899047,0.0006241376866902771,0.0
25,1,0.0005350806146293567,0.0005350806146296778,0.0
25,2,0.0006241376866885294,0.0006241376866855861,nan
25,3,0.0006241376866859592,0.0006241376866881556,nan
25,4,0.000624137686689197,0.0006241376866895694,nan
26,1,0.0005350806146280718,0.0005350806146265049,nan
26,2,0.0005350806146283933,0.0005350806146261848,0.0
26,3,0.0006241376866852515,0.000624137686687448,nan
26,4,0.0006241376866848802,0.0006241376866878215,nan
27,1,0.0005350806146248989,0.00053508061462522,nan
27,2,0.0005350806146278731,0.0005350806146256646,nan
27,3,0.0005350806146259843,0.0005350806146275531,0.0
27,4,0.0006241376866831322,0.0006241376866835046,nan
28,1,0.0005350806146243787,0.0005350806146246998,nan
28,2,0.0005350806146247002,0.0005350806146243797,nan
28,3,0.0005350806146246994,0.0005350806146243802,nan
28,4,0.0005350806146243809,0.0005350806146247,0.0
29,1,0.0004682647681509529,0.00046826476815123373,0.0
29,2,0.0005350806146237361,0.0005350806146219991,nan
29,3,0.0005350806146223188,0.0005350806146234161,nan
29,4,0.0005350806146239905,0.0005350806146243097,nan
30,1,0.0004682647681502145,0.00046826476814941043,nan
30,2,0.0004682647681504955,0.0004682647681491305,0.0
30,3,0.0005350806146219285,0.0005350806146230258,nan
30,4,0.00053508061462161,0.0005350806146233457,nan
31,1,0.0004682647681483912,0.00046826476814867203,nan
31,2,0.00046826476815019664,0.0004682647681488316,nan
31,3,0.0004682647681491112,0.00046826476814991675,0.0
31,4,0.0005350806146206459,0.0005350806146209651,nan
32,1,0.00046826476814809236,0.00046826476814837317,nan
32,2,0.00046826476814837333,0.00046826476814809323,nan
32,3,0.0004682647681483728,0.00046826476814809345,nan
32,4,0.00046826476814809404,0.0004682647681483733,0.0
33,1,0.0004163017065500486,0.00041633881236847553,4.743053201854335e-05
33,2,0.0004682647681477995,0.0004682647681466764,nan
33,3,0.0004682647681469554,0.0004682647681475193,nan
33,4,0.00046826476814786175,0.0004682647681481409,nan
34,1,0.0004163017065495949,0.00041633881236735544,nan
34,2,0.00041630170513353684,0.00041633880807884964,4.7437631251972e-05
34,3,0.0004682647681467231,0.0004682647681472869,nan
34,4,0.0004682647681464444,0.00046826476814756674,nan
35,1,0.00041630170654847283,0.000416338812366901,nan
35,2,0.0004163017051333528,0.00041633880807866565,nan
35,3,0.00041626467151737373,0.000416227625929583,4.745888553021813e-05
35,4,0.00046826476814586926,0.00046826476814614655,nan
36,1,0.0004163017065482888,0.000416338812366717,nan
36,2,0.0004163017051322307,0.0004163388080782112,nan
36,3,0.0004162646715169193,0.0004162276259284609,nan
36,4,0.0004162646729487076,0.0004162276302242567,4.746593776068086e-05
37,1,0.0003748390247602156,0.00037514567550878835,1.2787153975236722e-06
37,2,0.0004163017051318711,0.00041633880807732346,nan
37,3,0.00041626467151602867,0.0004162276259280996,nan
37,4,0.0004162646729485621,0.0004162276302241106,nan
38,1,0.00037483902475992357,0.0003751456755080674,nan
38,2,0.00037483902382739147,0.0003751456716445578,1.2787574725985205e-06
38,3,0.00041626467151588317,0.0004162276259279535,nan
38,4,0.0004162646729476715,0.0004162276302237493,nan
39,1,0.00037483902475919065,0.00037514567550777045,nan
39,2,0.00037483902382727085,0.00037514567164443756,nan
39,3,0.0003745345197882375,0.0003742316760486502,1.2792117591130022e-06
39,4,0.00041626467294730445,0.0004162276302228428,nan
40,1,0.00037483902475907003,0.0003751456755076502,nan
40,2,0.00037483902382653793,0.0003751456716441406,nan
40,3,0.00037453451978794087,0.00037423167604791756,nan
40,4,0.00037453452073439824,0.00037423167989910467,1.2792494532841638e-06
41,1,0.0003413089950127249,0.0003427791590593361,0.00011838716435362274
41,2,0.0003748390238263092,0.00037514567164357633,nan
41,3,0.0003745345197873675,0.00037423167604768353,nan
41,4,0.00037453452073430614,0.00037423167989901045,nan
42,1,0.00034130899501253387,0.0003427791590588645,nan
42,2,0.00034130899546256515,0.00034277915947718773,0.00011840464852984529
42,3,0.0003745345197872754,0.0003742316760475893,nan
42,4,0.00037453452073373276,0.00037423167989877643,nan
43,1,0.00034130899501202017,0.00034277915905865593,nan
43,2,0.0003413089954624794,0.0003427791594771031,nan
43,3,0.00033987739246027563,0.000338495179969634,0.00011848961952274734
43,4,0.0003745345207334794,0.00037423167989814987,nan
44,1,0.0003413089950119344,0.0003427791590585713,nan
44,2,0.0003413089954619657,0.00034277915947689456,nan
44,3,0.0003398773924600686,0.00033849517996912203,nan
44,4,0.00033987739132244053,0.0003384951792015759,0.00011850354189278179
45,1,0.00031381411035908996,0.000317769160023467,0.0009243187739100109
45,2,0.00034130899546181884,0.0003427791594765319,nan
45,3,0.00033987739245969347,0.000338495179968968,nan
45,4,0.0003398773913223824,0.00033849517920151427,nan
46,1,0.0003138141103589638,0.00031776916002315464,nan
46,2,0.000313814111888283,0.0003177691675805138,0.0009244498938487455
46,3,0.00033987739245963536,0.0003384951799689064,nan
46,4,0.0003398773913220073,0.00033849517920136026,nan
47,1,0.0003138141103585784,0.00031776916002299683,nan
47,2,0.00031381411188821743,0.00031776916758044954,nan
47,3,0.00031005035460280656,0.000306660740037969,0.0009264498933857075
47,4,0.0003398773913218215,0.0003384951792008992,nan
48,1,0.0003138141103585128,0.0003177691600229326,nan
48,2,0.000313814111887832,0.00031776916758029174,nan
48,3,0.00031005035460265483,0.00030666074003759175,nan
48,4,0.00031005034908336386,0.0003066607310508105,0.0009265196013304423
49,1,0.00029078648527209943,0.0002984013191369499,0.0015207306362524536
49,2,0.0003138141118877347,0.00031776916758005007,nan
49,3,0.00031005035460240286,0.00030666074003748875,nan
49,4,0.0003100503490833268,0.0003066607310507693,nan
50,1,0.00029078648527201383,0.0002984013191367362,nan
50,2,0.00029078648660539255,0.0002984013324389708,0.0015209424457083751
50,3,0.0003100503546023658,0.00030666074003744755,nan
50,4,0.0003100503490830748,0.0003066607310506663,nan
51,1,0.00029078648527171183,0.00029840131913660983,nan
51,2,0.0002907864866053405,0.00029840133243891933,nan
51,3,0.0002836559049211466,0.0002779157237919917,0.0015342579634567643
51,4,0.0003100503490829366,0.0003066607310503205,nan
52,1,0.0002907864852716598,0.0002984013191365584,nan
52,2,0.0002907864866050385,0.00029840133243879297,nan
52,3,0.00028365590492103443,0.00027791572379170924,nan
52,4,0.000283655894781605,0.00027791570834626386,0.0015343164084240376
53,1,0.0002710851297435976,0.0002830025542457671,0.002051771674962348
53,2,0.00029078648660497053,0.0002984013324386223,nan
53,3,0.00028365590492085977,0.0002779157237916392,nan
53,4,0.00028365589478158054,0.0002779157083462356,nan
54,1,0.0002710851297435369,0.00028300255424561313,nan
54,2,0.0002710851302006555,0.0002830025718981693,0.002052047634822445
54,3,0.0002836559049208353,0.00027791572379161095,nan
54,4,0.0002836558947814059,0.0002779157083461656,nan
55,1,0.0002710851297432976,0.0002830025542455095,nan
55,2,0.0002710851302006143,0.0002830025718981273,nan
55,3,0.0002600639546586283,0.000252335261662093,0.002095928651845923
55,4,0.00028365589478130526,0.0002779157083459105,nan
56,1,0.0002710851297432564,0.00028300255424546747,nan
56,2,0.000271085130200375,0.00028300257189802365,nan
56,3,0.00026006395465854714,0.0002523352616618843,nan
56,4,0.0002600639403977544,0.0002523352423137335,0.0020959521485184127
57,1,0.00025395861171833173,0.00027059874646363655,0.003587849630026038
57,2,0.000271085130200326,0.00028300257189789853,nan
57,3,0.0002600639546584234,0.00025233526166183604,nan
57,4,0.000260063940397738,0.0002523352423137137,nan
58,1,0.00025395861171828734,0.00027059874646352184,nan
58,2,0.0002539586109143935,0.00027059876824981667,0.0035883326954564924
58,3,0.000260063954658407,0.00025233526166181625,nan
58,4,0.00026006394039761427,0.00025233524231366546,nan
59,1,0.0002539586117180955,0.000270598746463435,nan
59,2,0.00025395861091436075,0.0002705987682497817,nan
59,3,0.00023876092265662168,0.00022976164345842384,0.0037419525214853876
59,4,0.0002600639403975421,0.00025233524231347854,nan
60,1,0.00025395861171806274,0.00027059874646340003,nan
60,2,0.0002539586109141689,0.00027059876824969486,nan
60,3,0.00023876092265656372,0.00022976164345827032,nan
60,4,0.0002387609036040993,0.0002297616216393547,0.0037419141286622317
61,1,0.000238877689818116,0.0002604427558532176,0.005073339761877178
61,2,0.0002539586109141324,0.00027059876824959967,nan
61,3,0.00023876092265647436,0.00022976164345823666,nan
61,4,0.00023876090360408812,0.00022976162163934052,nan
62,1,0.00023887768981808264,0.0002604427558531292,nan
62,2,0.00023887768756883287,0.00026044278111194596,0.005074009539368122
62,3,0.00023876092265646316,0.00022976164345822248,nan
62,4,0.00023876090360399875,0.00022976162163930685,nan
63,1,0.00023887768981792885,0.000260442755853056,nan
63,2,0.00023887768756880698,0.00026044278111191663,nan
63,3,0.00021951294411444395,0.00021009077157150595,0.005420428080839143
63,4,0.00023876090360394798,0.0002297616216391714,nan
64,1,0.00023887768981790296,0.00026044275585302665,nan
64,2,0.0002388776875686532,0.0002604427811118434,nan
64,3,0.00021951294411440327,0.00021009077157139395,nan
64,4,0.00021951292124107826,0.00021009074952541777,0.005420305690093866
65,1,0.00022546117682036089,0.00025200887436559774,0.007310700704476698
65,2,0.0002388776875686253,0.00026044278111176874,nan
65,3,0.00021951294411433767,0.00021009077157137013,nan
65,4,0.00021951292124107048,0.0002100907495254074,nan
66,1,0.0002254611768203352,0.00025200887436552775,nan
66,2,0.00022546117305287229,0.0002520089026721486,0.007311654235981855
66,3,0.0002195129441143299,0.00021009077157135974,nan
66,4,0.0002195129212410049,0.00021009074952538356,nan
67,1,0.00022546117682021249,0.00025200887436546595,nan
67,2,0.00022546117305285196,0.0002520089026721241,nan
67,3,0.00020221131929689501,0.00019312184889602155,0.00800258902792393
67,4,0.0002195129212409697,0.00021009074952528617,nan
68,1,0.00022546117682019216,0.00025200887436544145,nan
68,2,0.00022546117305272925,0.0002520089026720623,nan
68,3,0.00020221131929686672,0.0001931218488959402,nan
68,4,0.00020221129411400325,0.00019312182834667227,0.008002364709311323
69,1,0.00021342644886276118,0.0002449103545346087,0.008017168570179974
69,2,0.00022546117305270743,0.0002520089026720022,nan
69,3,0.00020221131929681782,0.00019312184889592305,nan
69,4,0.00020221129411399774,0.00019312182834666452,nan
70,1,0.00021342644886274096,0.0002449103545345519,nan
70,2,0.00021342644370100819,0.0002449103849924365,0.008018163457026349
70,3,0.00020221131929681232,0.0001931218488959153,nan
70,4,0.00020221129411394885,0.00019312182834664736,nan
71,1,0.0002134264488626439,0.0002449103545345001,nan
71,2,0.0002134264437009923,0.0002449103849924162,nan
71,3,0.00018682290532177833,0.00017856570300088813,0.00888397436647851
71,4,0.00020221129411392459,0.00019312182834657748,nan
72,1,0.00021342644886262801,0.0002449103545344798,nan
72,2,0.00021342644370089524,0.0002449103849923644,nan
72,3,0.00018682290532175868,0.00017856570300082904,nan
72,4,0.00018682288120222654,0.00017856568519232442,0.00888375895729528
73,1,0.00020256157076105504,0.00023884353608060233,0.010180266237434413
73,2,0.00021342644370087778,0.00024491038499231487,nan
73,3,0.00018682290532172162,0.00017856570300081644,nan
73,4,0.00018682288120222255,0.0001785656851923185,nan
74,1,0.00020256157076103877,0.00023884353608055517,nan
74,2,0.00020256156430598332,0.00023884356831353992,0.010181501902226957
74,3,0.00018682290532171764,0.0001785657030008105,nan
74,4,0.0001868228812021855,0.00017856568519230588,nan
75,1,0.00020256157076096266,0.0002388435360805122,nan
75,2,0.00020256156430597093,0.00023884356831352317,nan
75,3,0.00017332498997071964,0.00016606904742843845,0.011318821208830033
75,4,0.0001868228812021687,0.00017856568519225552,nan
76,1,0.00020256157076095028,0.00023884353608049545,nan
76,2,0.00020256156430589482,0.0002388435683134802,nan
76,3,0.00017332498997070587,0.00016606904742839533,nan
76,4,0.0001733249689972856,0.00016606903238513412,0.011318588502189182
77,1,0.00019268606659867942,0.00023362452775566698,0.0110296385934591
77,2,0.00020256156430588067,0.00023884356831343868,nan
77,3,0.00017332498997067728,0.00016606904742838587,nan
77,4,0.00017332496899728265,0.00016606903238512952,nan
78,1,0.0001926860665986662,0.00023362452775562727,nan
78,2,0.0001926969551761733,0.00023362479258053808,0.013863770736246424
78,3,0.00017332498997067435,0.00016606904742838126,nan
78,4,0.0001733249689972541,0.00016606903238512008,nan
79,1,0.00019268606659860672,0.0002336245277555918,nan
79,2,0.0001926969551761636,0.00023362479258052433,nan
79,3,0.00016160788706371063,0.00015526353107753492,0.006653388777735762
79,4,0.00017332496899724226,0.00016606903238508327,nan
80,1,0.00019268606659859704,0.00023362452775557807,nan
80,2,0.00019269695517610427,0.00023362479258048896,nan
80,3,0.00016160788706370076,0.00015526353107750307,nan
80,4,0.0001616432722013237,0.00015526471379332028,0.02026177500563302
81,1,0.00018361048569084273,0.00022908646073807848,0.013329270303487288
81,2,0.00019269695517609256,0.00023362479258045335,nan
81,3,0.0001616078870636781,0.00015526353107749578,nan
81,4,0.00016164327220132148,0.0001552647137933166,nan
82,1,0.00018361048569083183,0.00022908646073804476,nan
82,2,0.00018375226716508885,0.00022909058351055063,0.012753179348365676
82,3,0.0001616078870636759,0.00015526353107749214,nan
82,4,0.00016164327220129926,0.0001552647137933094,nan
83,1,0.00018361048569078486,0.00022908646073801519,nan
83,2,0.00018375226716508113,0.0002290905835105392,nan
83,3,0.00015138041736844046,0.00014582587529763855,0.014312895270601467
83,4,0.0001616432722012907,0.00015526471379328195,nan
84,1,0.00018361048569077721,0.00022908646073800407,nan
84,2,0.00018375226716503537,0.00022909058351051052,nan
84,3,0.00015138041736843325,0.0001458258752976147,nan
84,4,0.0001517947609083892,0.00014582859477529623,0.013310611853607084
85,1,0.00017516347625532995,0.00022508830496805794,0.017542525308281796
85,2,0.00018375226716502543,0.00022909058351047913,nan
85,3,0.00015138041736841476,0.0001458258752976089,nan
85,4,0.00015179476090838748,0.0001458285947752932,nan
86,1,0.00017516347625532098,0.0002250883049680292,nan
86,2,0.00017568288964242538,0.00022511010165653813,0.01427461762890302
86,3,0.00015138041736841308,0.00014582587529760602,nan
86,4,0.00015179476090837005,0.0001458285947752877,nan
87,1,0.0001751634762552833,0.00022508830496800416,nan
87,2,0.00017568288964241914,0.00022511010165652848,nan
87,3,0.0001423166607142181,0.000137504610283948,0.022899816004291546
87,4,0.00015179476090836368,0.00014582859477526677,nan
88,1,0.00017516347625527718,0.00022508830496799522,nan
88,2,0.00017568288964238385,0.00022511010165650547,nan
88,3,0.00014231666071421267,0.00013750461028392975,nan
88,4,0.00014366606028238008,0.00013750836647821713,0.00995556372573318
89,1,0.00016722205360591362,0.00022150680320350016,0.019966999259962485
89,2,0.00017568288964237518,0.00022511010165647706,nan
89,3,0.00014231666071419725,0.00013750461028392506,nan
89,4,0.00014366606028237867,0.00013750836647821458,nan
90,1,0.0001672220536059062,0.00022150680320347563,nan
90,2,0.0001684375512402037,0.00022157432710916925,0.01594141821094454
90,3,0.00014231666071419594,0.00013750461028392278,nan
90,4,0.0001436660602823649,0.00013750836647821035,nan
91,1,0.00016722205360587564,0.0002215068032034542,nan
91,2,0.00016843755124019858,0.00022157432710916098,nan
91,3,0.00013418949584397,0.00013009929827735993,0.025795189694407274
91,4,0.00014366606028236005,0.00013750836647819414,nan
92,1,0.00016722205360587068,0.0002215068032034469,nan
92,2,0.0001684375512401709,0.0002215743271091423,nan
92,3,0.00013418949584396585,0.00013009929827734564,nan
92,4,0.000136965436972015,0.0001301376590506234,0.00993219520584639
93,1,0.00015971199577683882,0.00021822873861261004,0.02165878435529665
93,2,0.00016843755124016312,0.000221574327109116,nan
93,3,0.00013418949584395273,0.00013009929827734177,nan
93,4,0.00013696543697201384,0.00013013765905062126,nan
